shipment_id,route_id,date,delay_minutes,cost_usd,temp_c,status
SHP10132,RT03,1998-05-20,10,49.84,6.8,delivered
SHP10133,RT01,1998-05-21,14,92.49,3.6,in_transit
SHP10134,RT02,1998-05-22,13,51.9,5.4,delivered
SHP10135,RT01,1998-05-23,4,84.14,3.1,in_transit
SHP10136,RT03,1998-05-24,13,44.69,3.2,delivered
SHP10137,RT01,1998-05-25,15,40.51,4.8,delivered
SHP10138,RT04,1998-05-26,8,66.39,4.9,in_transit
SHP10139,RT04,1998-05-27,13,55.86,3.3,delivered
SHP10140,RT02,1998-05-28,11,56.05,1.7,delivered
SHP10141,RT04,1998-05-29,10,75.17,1.7,delivered
SHP10142,RT03,1998-05-30,9,72.66,4.3,delivered
SHP10143,RT02,1998-05-31,6,47.92,7.0,delivered
SHP10144,RT01,1998-06-01,9,47.48,5.1,delivered
SHP10145,RT03,1998-06-02,12,98.59,5.4,in_transit
SHP10146,RT02,1998-06-03,15,97.21,4.0,in_transit
SHP10147,RT01,1998-06-04,15,88.62,7.0,delivered
SHP10148,RT01,1998-06-05,15,38.48,4.3,delivered
SHP10149,RT02,1998-06-06,11,78.04,4.8,delivered
SHP10150,RT01,1998-06-07,14,65.02,5.7,delivered
SHP10151,RT02,1998-06-08,9,43.15,3.5,failed
SHP10152,RT03,1998-06-09,8,76.94,6.8,delivered
SHP10153,RT02,1998-06-10,14,79.85,6.7,delivered
SHP10154,RT04,1998-06-11,11,33.52,4.8,delivered
SHP10155,RT03,1998-06-12,6,77.26,5.5,delivered
SHP10156,RT03,1998-06-13,7,54.79,5.9,in_transit
SHP10157,RT04,1998-06-14,6,30.06,5.2,delivered
SHP10158,RT04,1998-06-15,9,61.19,4.7,delivered
SHP10159,RT02,1998-06-16,11,84.47,4.4,in_transit
SHP10160,RT01,1998-06-17,7,46.54,5.8,delivered
SHP10161,RT02,1998-06-18,8,90.37,5.5,in_transit
SHP10162,RT01,1998-06-19,13,74.94,6.4,failed
SHP10163,RT03,1998-06-20,10,66.24,5.0,delivered
SHP10164,RT01,1998-06-21,5,72.24,5.1,delivered
SHP10165,RT02,1998-06-22,14,90.87,6.4,delivered
SHP10166,RT01,1998-06-23,10,34.99,3.3,in_transit
SHP10167,RT01,1998-06-24,5,91.74,1.7,delivered
SHP10168,RT02,1998-06-25,11,77.61,0.9,delivered
SHP10169,RT03,1998-06-26,16,53.17,3.8,in_transit
SHP10170,RT01,1998-06-27,13,53.61,7.4,delivered
SHP10171,RT03,1998-06-28,6,45.61,4.7,delivered
SHP10172,RT03,1998-06-29,10,74.97,4.3,delivered
SHP10173,RT04,1998-06-30,9,38.85,3.7,in_transit
SHP10174,RT02,1998-07-01,10,75.05,6.2,failed
SHP10175,RT04,1998-07-02,15,55.74,5.5,in_transit
SHP10176,RT04,1998-07-03,10,39.49,5.1,delivered
SHP10177,RT03,1998-07-04,8,69.1,6.5,delivered
SHP10178,RT03,1998-07-05,8,35.99,-2.5,delivered
SHP10179,RT04,1998-07-06,7,78.52,5.4,in_transit
SHP10180,RT03,1998-07-07,10,64.87,4.3,in_transit
SHP10181,RT01,1998-07-08,8,65.39,4.0,delivered
SHP10182,RT04,1998-07-09,10,60.63,4.3,delivered
SHP10183,RT01,1998-07-10,13,73.11,0.8,delivered
SHP10184,RT01,1998-07-11,8,55.21,4.5,delivered
SHP10185,RT04,1998-07-12,6,32.2,1.9,in_transit
SHP10186,RT04,1998-07-13,11,76.01,6.6,delivered
SHP10187,RT03,1998-07-14,5,64.27,6.4,in_transit
SHP10188,RT02,1998-07-15,13,54.88,4.7,delivered
SHP10189,RT01,1998-07-16,6,55.71,3.9,delivered
SHP10190,RT02,1998-07-17,8,71.08,5.9,delivered
SHP10191,RT02,1998-07-18,6,85.04,3.9,delivered
SHP10192,RT02,1998-07-19,9,99.18,9.6,failed
SHP10193,RT01,1998-07-20,9,33.81,2.8,failed
SHP10194,RT04,1998-07-21,11,90.83,4.9,delivered
SHP10195,RT01,1998-07-22,8,63.44,6.8,delivered
SHP10196,RT03,1998-07-23,14,40.5,5.9,delivered
SHP10197,RT01,1998-07-24,10,83.38,2.1,delivered
SHP10198,RT01,1998-07-25,8,94.86,8.0,delivered
SHP10199,RT01,1998-07-26,9,68.95,2.0,failed
SHP10200,RT04,1998-07-27,6,62.88,5.8,in_transit
SHP10201,RT03,1998-07-28,11,41.12,5.6,in_transit
SHP10202,RT01,1998-07-29,6,79.42,9.1,delivered
SHP10203,RT02,1998-07-30,13,45.7,7.5,delivered
SHP10204,RT04,1998-07-31,17,33.86,8.3,delivered
SHP10205,RT04,1998-08-01,10,49.94,2.3,delivered
SHP10206,RT04,1998-08-02,11,75.55,6.1,delivered
SHP10207,RT04,1998-08-03,7,51.88,6.3,delivered
SHP10208,RT02,1998-08-04,6,95.63,5.4,delivered
SHP10209,RT03,1998-08-05,13,81.65,2.9,failed
SHP10210,RT01,1998-08-06,6,32.89,2.9,in_transit
SHP10211,RT03,1998-08-07,14,47.34,3.9,delivered
SHP10212,RT04,1998-08-08,6,58.57,9.2,delivered
SHP10213,RT01,1998-08-09,9,36.38,5.9,delivered
SHP10214,RT01,1998-08-10,12,91.34,5.3,in_transit
SHP10215,RT03,1998-08-11,11,96.31,7.8,delivered
SHP10216,RT01,1998-08-12,8,40.1,6.1,failed
SHP10217,RT01,1998-08-13,13,63.19,7.8,delivered
SHP10218,RT01,1998-08-14,11,60.97,4.5,delivered
SHP10219,RT03,1998-08-15,12,68.05,3.7,delivered
SHP10220,RT02,1998-08-16,14,97.33,7.6,in_transit
SHP10221,RT01,1998-08-17,10,60.13,4.9,in_transit
SHP10222,RT02,1998-08-18,9,55.44,4.9,delivered
SHP10223,RT01,1998-08-19,7,44.99,3.1,in_transit
SHP10224,RT01,1998-08-20,9,49.02,7.9,in_transit
SHP10225,RT03,1998-08-21,13,74.76,4.5,in_transit
SHP10226,RT04,1998-08-22,9,98.7,6.0,delivered
SHP10227,RT01,1998-08-23,12,99.46,4.5,in_transit
SHP10228,RT03,1998-08-24,13,63.8,4.2,delivered
SHP10229,RT04,1998-08-25,9,85.63,3.9,delivered
SHP10230,RT01,1998-08-26,9,69.78,0.4,delivered
SHP10231,RT01,1998-08-27,8,50.56,7.4,delivered
SHP10232,RT04,1998-08-28,11,80.43,5.3,delivered
SHP10233,RT03,1998-08-29,12,66.81,3.1,delivered
SHP10234,RT03,1998-08-30,5,64.64,5.5,delivered
SHP10235,RT03,1998-08-31,7,82.2,3.9,in_transit
SHP10236,RT04,1998-09-01,12,89.97,7.3,delivered
SHP10237,RT03,1998-09-02,10,42.52,5.3,delivered
SHP10238,RT02,1998-09-03,9,62.54,4.0,delivered
SHP10239,RT02,1998-09-04,6,88.64,5.8,in_transit
SHP10240,RT04,1998-09-05,7,40.28,6.8,delivered
SHP10241,RT02,1998-09-06,6,98.66,6.6,delivered
SHP10242,RT01,1998-09-07,14,79.22,5.7,failed
SHP10243,RT03,1998-09-08,16,49.75,2.1,delivered
SHP10244,RT02,1998-09-09,12,41.7,3.7,delivered
SHP10245,RT02,1998-09-10,10,98.38,3.4,delivered
SHP10246,RT04,1998-09-11,13,94.73,4.5,failed
SHP10247,RT04,1998-09-12,9,45.28,2.7,in_transit
SHP10248,RT03,1998-09-13,9,40.12,2.2,in_transit
SHP10249,RT01,1998-09-14,9,66.88,6.0,delivered
SHP10250,RT02,1998-09-15,5,42.96,2.4,delivered
SHP10251,RT02,1998-09-16,8,52.39,4.5,delivered
SHP10252,RT01,1998-09-17,7,91.81,5.7,delivered
SHP10253,RT04,1998-09-18,5,70.19,8.1,delivered
SHP10254,RT03,1998-09-19,10,71.93,8.0,in_transit
SHP10255,RT03,1998-09-20,8,51.52,3.1,delivered
SHP10256,RT02,1998-09-21,11,98.96,3.0,delivered
SHP10257,RT01,1998-09-22,14,54.17,6.3,delivered
SHP10258,RT02,1998-09-23,13,48.44,6.6,delivered
SHP10259,RT03,1998-09-24,8,38.56,2.6,delivered
SHP10260,RT03,1998-09-25,7,46.44,5.2,delivered
SHP10261,RT02,1998-09-26,10,98.41,5.0,delivered
SHP10262,RT04,1998-09-27,7,62.11,3.0,delivered
SHP10263,RT04,1998-09-28,9,41.8,5.7,delivered
SHP10264,RT02,1998-09-29,5,94.37,8.4,delivered
SHP10265,RT04,1998-09-30,12,69.62,3.4,delivered
SHP10266,RT04,1998-10-01,6,97.55,5.8,delivered
SHP10267,RT03,1998-10-02,7,77.16,4.5,delivered
SHP10268,RT02,1998-10-03,11,51.98,6.6,in_transit
SHP10269,RT01,1998-10-04,10,75.62,7.4,delivered
SHP10270,RT01,1998-10-05,16,82.72,4.3,delivered
SHP10271,RT03,1998-10-06,10,99.75,5.2,delivered
SHP10272,RT02,1998-10-07,7,47.12,2.4,failed
SHP10273,RT03,1998-10-08,8,44.67,3.0,delivered
SHP10274,RT04,1998-10-09,9,88.79,5.5,failed
SHP10275,RT02,1998-10-10,10,34.55,5.5,delivered
SHP10276,RT04,1998-10-11,13,89.33,4.5,failed
SHP10277,RT01,1998-10-12,13,37.5,5.3,delivered
SHP10278,RT03,1998-10-13,15,49.89,6.4,delivered
SHP10279,RT04,1998-10-14,10,48.0,6.6,delivered
SHP10280,RT01,1998-10-15,7,98.32,6.1,in_transit
SHP10281,RT02,1998-10-16,7,78.05,5.2,in_transit
SHP10282,RT01,1998-10-17,8,84.41,4.3,failed
SHP10283,RT03,1998-10-18,8,57.26,7.2,in_transit
SHP10284,RT02,1998-10-19,13,72.4,0.9,in_transit
SHP10285,RT04,1998-10-20,12,57.67,4.0,delivered
SHP10286,RT01,1998-10-21,12,40.46,3.3,delivered
SHP10287,RT04,1998-10-22,9,87.24,8.2,failed
SHP10288,RT01,1998-10-23,10,95.91,6.3,delivered
SHP10289,RT03,1998-10-24,9,77.74,2.2,delivered
SHP10290,RT03,1998-10-25,8,80.49,4.6,delivered
SHP10291,RT03,1998-10-26,7,72.5,3.3,delivered
SHP10292,RT01,1998-10-27,8,98.5,3.5,delivered
SHP10293,RT01,1998-10-28,11,64.93,6.9,delivered
SHP10294,RT02,1998-10-29,11,52.01,8.6,delivered
SHP10295,RT03,1998-10-30,8,77.9,6.0,delivered
SHP10296,RT01,1998-10-31,5,36.27,5.3,in_transit
SHP10297,RT04,1998-11-01,10,53.27,4.7,delivered
SHP10298,RT03,1998-11-02,8,90.85,7.5,delivered
SHP10299,RT01,1998-11-03,9,84.76,6.7,delivered
SHP10300,RT02,1998-11-04,8,62.25,1.6,delivered
SHP10301,RT01,1998-11-05,9,50.23,6.3,failed
SHP10302,RT04,1998-11-06,6,38.51,7.9,delivered
SHP10303,RT01,1998-11-07,15,64.94,3.1,delivered
SHP10304,RT03,1998-11-08,16,83.93,7.0,delivered
SHP10305,RT01,1998-11-09,11,69.99,4.7,delivered
SHP10306,RT04,1998-11-10,9,37.05,8.8,delivered
SHP10307,RT02,1998-11-11,8,86.16,4.2,delivered
SHP10308,RT04,1998-11-12,9,80.3,5.5,delivered
SHP10309,RT03,1998-11-13,8,91.26,2.6,delivered
SHP10310,RT04,1998-11-14,6,97.1,4.7,in_transit
SHP10311,RT04,1998-11-15,8,43.91,4.7,delivered
SHP10312,RT01,1998-11-16,6,71.14,4.0,delivered
SHP10313,RT04,1998-11-17,12,93.64,6.7,delivered
SHP10314,RT03,1998-11-18,10,96.1,5.2,delivered
SHP10315,RT03,1998-11-19,13,30.7,3.7,delivered
SHP10316,RT02,1998-11-20,6,60.14,4.2,in_transit
SHP10317,RT01,1998-11-21,6,54.82,3.2,delivered
SHP10318,RT01,1998-11-22,12,80.09,5.4,delivered
SHP10319,RT03,1998-11-23,8,57.44,1.8,failed
SHP10320,RT04,1998-11-24,10,92.23,7.2,delivered
SHP10321,RT04,1998-11-25,5,85.17,2.4,delivered
SHP10322,RT02,1998-11-26,14,64.07,5.6,delivered
SHP10323,RT04,1998-11-27,16,71.02,2.1,delivered
SHP10324,RT03,1998-11-28,9,77.16,5.3,failed
SHP10325,RT01,1998-11-29,13,81.35,3.7,delivered
SHP10326,RT04,1998-11-30,9,42.29,6.6,in_transit
SHP10327,RT03,1998-12-01,5,78.37,7.0,delivered
SHP10328,RT01,1998-12-02,9,72.48,4.7,in_transit
SHP10329,RT02,1998-12-03,9,80.52,3.0,delivered
SHP10330,RT02,1998-12-04,10,60.26,5.0,in_transit
SHP10331,RT02,1998-12-05,8,52.96,7.9,delivered
SHP10332,RT02,1998-12-06,6,45.75,5.5,delivered
SHP10333,RT04,1998-12-07,8,82.95,8.0,delivered
SHP10334,RT02,1998-12-08,11,59.16,6.7,delivered
SHP10335,RT03,1998-12-09,6,88.58,4.8,failed
SHP10336,RT04,1998-12-10,8,78.48,5.1,delivered
SHP10337,RT03,1998-12-11,9,73.44,7.0,delivered
SHP10338,RT03,1998-12-12,8,99.14,3.7,delivered
SHP10339,RT04,1998-12-13,22,56.38,6.8,failed
SHP10340,RT01,1998-12-14,10,48.98,3.7,in_transit
SHP10341,RT04,1998-12-15,11,84.73,6.1,delivered
SHP10342,RT03,1998-12-16,12,82.53,1.9,delivered
SHP10343,RT04,1998-12-17,15,61.45,5.9,delivered
SHP10344,RT04,1998-12-18,9,97.31,6.8,delivered
SHP10345,RT04,1998-12-19,9,90.43,6.7,delivered
SHP10346,RT04,1998-12-20,19,54.87,5.7,delivered
SHP10347,RT04,1998-12-21,10,66.05,4.9,delivered
SHP10348,RT02,1998-12-22,8,67.5,3.1,in_transit
SHP10349,RT02,1998-12-23,18,84.1,3.8,in_transit
SHP10350,RT03,1998-12-24,13,58.15,4.8,delivered
SHP10351,RT01,1998-12-25,8,52.91,4.5,in_transit
SHP10352,RT02,1998-12-26,8,80.66,6.2,delivered
SHP10353,RT02,1998-12-27,12,73.33,7.8,failed
SHP10354,RT03,1998-12-28,2,38.45,3.6,failed
SHP10355,RT02,1998-12-29,9,36.09,6.7,in_transit
SHP10356,RT02,1998-12-30,12,51.45,8.0,in_transit
SHP10357,RT02,1998-12-31,14,58.39,2.1,in_transit
SHP10358,RT03,1999-01-01,10,67.81,1.5,delivered
SHP10359,RT01,1999-01-02,7,41.3,6.9,failed
SHP10360,RT01,1999-01-03,12,75.81,7.5,delivered
SHP10361,RT04,1999-01-04,14,84.15,2.1,delivered
SHP10362,RT04,1999-01-05,10,31.95,2.9,delivered
SHP10363,RT01,1999-01-06,8,69.69,3.9,in_transit
SHP10364,RT03,1999-01-07,11,65.46,8.8,delivered
SHP10365,RT01,1999-01-08,7,62.06,5.9,delivered
SHP10366,RT04,1999-01-09,10,72.38,4.5,delivered
SHP10367,RT02,1999-01-10,5,55.62,4.6,delivered
SHP10368,RT01,1999-01-11,10,63.95,8.7,failed
SHP10369,RT04,1999-01-12,14,92.94,4.4,delivered
SHP10370,RT03,1999-01-13,7,67.89,6.7,delivered
SHP10371,RT04,1999-01-14,10,44.63,4.0,in_transit
SHP10372,RT03,1999-01-15,8,86.38,7.4,delivered
SHP10373,RT03,1999-01-16,10,87.17,4.2,delivered
SHP10374,RT02,1999-01-17,8,54.61,3.8,delivered
SHP10375,RT04,1999-01-18,9,58.85,4.9,delivered
SHP10376,RT04,1999-01-19,7,81.14,5.1,delivered
SHP10377,RT04,1999-01-20,8,71.27,6.0,delivered
SHP10378,RT01,1999-01-21,12,84.14,5.5,failed
SHP10379,RT02,1999-01-22,8,68.12,3.6,in_transit
SHP10380,RT01,1999-01-23,6,43.76,5.7,delivered
SHP10381,RT04,1999-01-24,16,60.57,6.0,delivered
SHP10382,RT03,1999-01-25,7,85.36,7.2,delivered
SHP10383,RT02,1999-01-26,9,51.86,3.8,delivered
SHP10384,RT01,1999-01-27,13,46.19,5.0,delivered
SHP10385,RT03,1999-01-28,9,80.19,4.7,delivered
SHP10386,RT02,1999-01-29,8,81.81,6.5,delivered
SHP10387,RT01,1999-01-30,7,93.18,2.4,delivered
SHP10388,RT02,1999-01-31,10,42.06,1.3,delivered
SHP10389,RT01,1999-02-01,12,69.79,1.6,delivered
SHP10390,RT01,1999-02-02,12,88.22,4.7,delivered
SHP10391,RT01,1999-02-03,8,34.38,5.2,failed
SHP10392,RT03,1999-02-04,11,91.99,11.1,delivered
SHP10393,RT04,1999-02-05,14,79.7,5.2,in_transit
SHP10394,RT02,1999-02-06,11,66.32,1.1,delivered
SHP10395,RT04,1999-02-07,13,80.6,3.0,in_transit
SHP10396,RT02,1999-02-08,9,70.06,4.4,failed
SHP10397,RT02,1999-02-09,10,51.65,3.6,delivered
SHP10398,RT02,1999-02-10,10,31.02,5.9,delivered
SHP10399,RT03,1999-02-11,12,47.0,3.1,delivered
SHP10400,RT02,1999-02-12,10,92.46,4.7,delivered
SHP10401,RT04,1999-02-13,12,39.8,2.1,delivered
SHP10402,RT01,1999-02-14,11,59.56,2.7,delivered
SHP10403,RT03,1999-02-15,13,97.33,7.5,failed
SHP10404,RT01,1999-02-16,11,66.42,3.6,delivered
SHP10405,RT03,1999-02-17,12,89.54,7.3,delivered
SHP10406,RT01,1999-02-18,2,83.07,3.9,delivered
SHP10407,RT04,1999-02-19,11,66.27,4.2,delivered
SHP10408,RT01,1999-02-20,9,37.06,5.6,delivered
SHP10409,RT03,1999-02-21,8,89.22,2.2,delivered
SHP10410,RT02,1999-02-22,12,84.19,8.0,delivered
SHP10411,RT04,1999-02-23,9,69.81,6.5,delivered
SHP10412,RT02,1999-02-24,9,95.06,4.7,in_transit
SHP10413,RT03,1999-02-25,7,75.93,7.8,in_transit
SHP10414,RT02,1999-02-26,10,55.25,6.1,delivered
SHP10415,RT02,1999-02-27,6,45.27,6.4,delivered
SHP10416,RT03,1999-02-28,8,79.25,4.7,in_transit
SHP10417,RT04,1999-03-01,8,47.71,5.6,delivered
SHP10418,RT04,1999-03-02,7,62.5,3.4,in_transit
SHP10419,RT01,1999-03-03,10,35.14,9.2,in_transit
SHP10420,RT03,1999-03-04,14,70.62,7.3,delivered
SHP10421,RT02,1999-03-05,14,32.95,4.5,delivered
SHP10422,RT02,1999-03-06,10,57.31,4.9,delivered
SHP10423,RT03,1999-03-07,12,37.97,5.9,delivered
SHP10424,RT02,1999-03-08,11,52.65,5.4,delivered
SHP10425,RT01,1999-03-09,6,97.05,5.1,delivered
SHP10426,RT03,1999-03-10,11,84.11,4.7,delivered
SHP10427,RT03,1999-03-11,8,66.3,5.6,in_transit
SHP10428,RT02,1999-03-12,9,50.35,2.7,in_transit
SHP10429,RT03,1999-03-13,8,38.15,4.5,delivered
SHP10430,RT03,1999-03-14,12,89.13,2.2,delivered
SHP10431,RT02,1999-03-15,4,82.25,3.7,delivered
SHP10432,RT03,1999-03-16,11,41.81,2.6,delivered
SHP10433,RT04,1999-03-17,9,50.11,5.2,delivered
SHP10434,RT02,1999-03-18,9,34.52,0.9,delivered
SHP10435,RT04,1999-03-19,8,93.2,3.9,in_transit
SHP10436,RT03,1999-03-20,9,72.15,4.9,delivered
SHP10437,RT01,1999-03-21,10,74.97,2.5,failed
SHP10438,RT01,1999-03-22,8,39.69,6.2,delivered
SHP10439,RT02,1999-03-23,12,66.55,2.3,delivered
SHP10440,RT01,1999-03-24,11,94.92,4.4,delivered
SHP10441,RT04,1999-03-25,10,74.68,3.4,delivered
SHP10442,RT04,1999-03-26,11,32.11,3.2,delivered
SHP10443,RT02,1999-03-27,13,30.21,4.7,in_transit
SHP10444,RT03,1999-03-28,10,79.2,1.6,delivered
SHP10445,RT04,1999-03-29,12,42.93,6.9,delivered
SHP10446,RT01,1999-03-30,7,88.21,1.5,delivered
